Date,Campaign_Name,Impressions,Clicks,Spend_IDR,Conversions,Revenue_IDR
2025-05-26,Promo Diskon 50%,37726,368,329360,6,1143204
2025-05-10,Promo Diskon 50%,25425,750,2163750,20,7864340
2025-06-25,Flash Sale Akhir Bulan,5630,110,102520,3,759369
2025-01-25,Lookalike Audience,37961,1186,2432486,6,976308
2025-04-27,Promo Diskon 50%,28163,394,724172,13,2997176
2025-05-13,Launching Produk Baru,39285,1645,2829400,15,3058485
2025-06-21,Retargeting Web,14317,875,1457750,32,10704832
2025-04-24,Lookalike Audience,34818,1660,3678560,55,11374385
2025-05-29,Retargeting Web,27289,1076,1509628,34,11088318
2025-02-07,Lookalike Audience,12256,192,525696,3,958977
2025-05-01,Promo Diskon 50%,7749,379,1059305,2,796304
2025-06-01,Retargeting Web,44741,1686,3640074,88,14910632
2025-06-12,Lookalike Audience,41530,1681,4352109,25,6954850
2025-01-24,Flash Sale Akhir Bulan,1695,50,135300,1,331835
2025-01-05,Promo Diskon 50%,2410,97,272085,2,774098
2025-04-06,Lookalike Audience,16910,706,2048106,19,7434833
2025-03-21,Promo Diskon 50%,42805,2055,6070470,67,21816540
2025-06-01,Promo Diskon 50%,4079,126,185472,2,799060
2025-04-01,Lookalike Audience,48931,1883,3999492,56,18434248
2025-06-22,Launching Produk Baru,4568,30,70500,0,0
2025-01-22,Launching Produk Baru,5569,200,487400,6,2112138
2025-03-02,Promo Diskon 50%,36283,1061,1760199,8,1348160
2025-03-08,Retargeting Web,11936,900,1948500,37,8084130
2025-01-05,Launching Produk Baru,34697,1122,2589576,21,10287186
2025-06-18,Launching Produk Baru,16990,175,366100,0,0
2025-03-01,Flash Sale Akhir Bulan,5817,113,195603,3,1345002
2025-03-10,Flash Sale Akhir Bulan,4466,67,73030,0,0
2025-05-07,Lookalike Audience,11461,356,785336,6,2726760
2025-03-12,Launching Produk Baru,38513,1139,1315545,33,11106117
2025-01-23,Launching Produk Baru,35044,1103,1108515,40,10073480
2025-03-03,Retargeting Web,26146,1817,1871510,91,30492917
2025-01-02,Flash Sale Akhir Bulan,20904,817,2278613,7,1372651
2025-05-26,Retargeting Web,15913,669,544566,37,15414681
2025-02-18,Promo Diskon 50%,29753,628,1207016,13,6269029
2025-02-09,Retargeting Web,37987,2179,2959082,82,12767072
2025-05-27,Retargeting Web,44658,1635,1919490,50,21377200
2025-05-09,Retargeting Web,46164,2145,5023590,107,22976752
2025-01-09,Flash Sale Akhir Bulan,46259,1086,1584474,38,6505486
2025-04-19,Launching Produk Baru,14257,75,213525,1,365908
2025-03-29,Lookalike Audience,22037,147,229761,1,283057
2025-03-27,Launching Produk Baru,17858,584,1667320,8,3944512
2025-01-05,Lookalike Audience,22804,416,924352,11,5409393
2025-01-29,Launching Produk Baru,31898,352,315744,11,2474208
2025-05-28,Launching Produk Baru,7244,253,312455,2,678350
2025-06-25,Lookalike Audience,38777,765,629595,16,4058848
2025-02-21,Flash Sale Akhir Bulan,36372,1311,2890755,30,10404660
2025-06-15,Promo Diskon 50%,16051,480,1002240,12,4112328
2025-03-27,Flash Sale Akhir Bulan,41906,255,464355,6,2466558
2025-05-24,Lookalike Audience,12386,495,1244430,8,2413208
2025-01-30,Promo Diskon 50%,44119,1510,1771230,16,2539152
2025-04-22,Launching Produk Baru,3700,46,122636,1,258256
2025-01-30,Retargeting Web,24270,1639,4374491,35,12748505
2025-03-16,Promo Diskon 50%,40589,1996,4902176,45,18833220
2025-02-14,Retargeting Web,41767,2324,1908004,120,27060720
2025-01-10,Promo Diskon 50%,41753,1444,2493788,43,20438244
2025-03-20,Lookalike Audience,33914,1421,1334319,19,9315301
2025-02-20,Retargeting Web,8476,576,562752,33,9860268
2025-04-24,Retargeting Web,8447,346,913786,9,4070304
2025-03-27,Retargeting Web,4341,233,205739,8,3743120
2025-01-08,Lookalike Audience,10025,213,365721,4,1225620
2025-05-12,Launching Produk Baru,26031,235,454725,7,1544417
2025-03-20,Promo Diskon 50%,46797,1630,2360240,20,8400020
2025-04-21,Launching Produk Baru,32521,1134,912870,40,10397000
2025-03-21,Flash Sale Akhir Bulan,43332,648,1489104,13,3654222
2025-01-20,Lookalike Audience,6573,326,485088,5,1639975
2025-06-07,Lookalike Audience,5403,197,564799,1,391036
2025-03-13,Promo Diskon 50%,1408,14,29736,0,0
2025-03-18,Flash Sale Akhir Bulan,6207,234,197496,1,485439
2025-02-06,Lookalike Audience,30715,507,1269021,12,2178840
2025-06-04,Lookalike Audience,5766,239,634306,4,1673096
2025-01-07,Lookalike Audience,22183,598,1068626,4,616992
2025-06-01,Lookalike Audience,7139,260,298220,7,3028956
2025-05-20,Retargeting Web,38735,2298,5696742,73,27986594
2025-04-26,Launching Produk Baru,46131,426,742944,15,6904380
2025-03-29,Retargeting Web,25666,1115,1561000,49,21643888
2025-04-06,Launching Produk Baru,45888,2203,4071144,44,17279504
2025-01-23,Lookalike Audience,48258,2188,3159472,34,7417440
2025-03-28,Launching Produk Baru,46614,877,1618065,12,3947076
2025-04-06,Retargeting Web,44584,2055,1740585,93,33236805
2025-03-06,Flash Sale Akhir Bulan,42408,804,2037336,19,5303451
2025-04-15,Retargeting Web,30805,1743,2867235,103,46712251
2025-05-22,Flash Sale Akhir Bulan,14400,181,348244,1,482174
2025-01-04,Flash Sale Akhir Bulan,25688,932,1825788,22,7060152
2025-06-07,Launching Produk Baru,11210,321,334161,2,333678
2025-05-15,Launching Produk Baru,27232,302,627556,7,1097432
2025-03-16,Lookalike Audience,11787,328,622216,6,2385846
2025-01-24,Lookalike Audience,38588,1859,2546830,33,14379948
2025-04-24,Retargeting Web,25891,959,2132816,19,6215489
2025-04-24,Lookalike Audience,10105,229,267701,6,2404182
2025-03-30,Launching Produk Baru,35465,1132,2343240,22,6787616
2025-05-21,Lookalike Audience,25367,796,2154772,30,14736180
2025-04-05,Retargeting Web,5433,249,639681,13,3362346
2025-02-02,Retargeting Web,4788,169,147030,3,1415133
2025-05-23,Lookalike Audience,38908,1294,3254410,24,4475160
2025-05-03,Launching Produk Baru,26607,427,739991,9,4145319
2025-04-14,Flash Sale Akhir Bulan,18197,446,958454,17,3070914
2025-05-30,Retargeting Web,47361,1838,3244070,56,27850368
2025-04-14,Retargeting Web,39410,1410,1926060,33,13978998
2025-05-07,Lookalike Audience,36640,409,876487,2,737638
2025-01-12,Lookalike Audience,1296,44,42196,0,0
2025-02-19,Launching Produk Baru,18766,761,1229776,12,4565040
2025-04-29,Launching Produk Baru,5019,171,426474,4,1792000
2025-06-08,Promo Diskon 50%,8413,84,211428,3,1473633
2025-04-03,Retargeting Web,48926,2523,2073906,57,14046111
2025-01-01,Promo Diskon 50%,46263,853,1781064,10,4838130
2025-02-08,Retargeting Web,3640,213,450708,6,1323972
2025-01-20,Flash Sale Akhir Bulan,26275,536,434696,10,1617630
2025-04-08,Launching Produk Baru,2128,81,115911,2,807542
2025-06-25,Promo Diskon 50%,43427,2076,3408792,54,19115622
2025-03-17,Promo Diskon 50%,48881,2197,4528017,13,4440813
2025-03-18,Launching Produk Baru,19698,406,517650,10,3341710
2025-04-22,Promo Diskon 50%,21778,988,1075932,37,7598394
2025-02-09,Flash Sale Akhir Bulan,4223,73,213452,2,845528
2025-01-28,Retargeting Web,16134,507,1462695,10,3241520
2025-02-04,Promo Diskon 50%,7261,277,312456,10,1500200
2025-05-19,Retargeting Web,15223,469,646282,18,5524704
2025-02-25,Promo Diskon 50%,48827,2059,3595014,70,18941790
2025-04-18,Flash Sale Akhir Bulan,8507,49,140091,0,0
2025-03-04,Retargeting Web,49564,2755,2666840,104,49053576
2025-03-23,Launching Produk Baru,20805,447,539082,10,1625500
2025-03-15,Launching Produk Baru,29643,1470,3141390,22,6175004
2025-03-09,Flash Sale Akhir Bulan,45959,758,847444,25,4981550
2025-04-22,Retargeting Web,45352,3131,8344115,77,18758432
2025-05-04,Launching Produk Baru,45048,1353,2197272,9,1846755
2025-06-28,Launching Produk Baru,14954,214,452610,4,1264672
2025-06-01,Retargeting Web,29976,1181,2176583,27,8627580
2025-05-16,Lookalike Audience,30610,1143,1552194,24,10747992
2025-05-03,Flash Sale Akhir Bulan,2311,110,188540,3,1160841
2025-06-17,Promo Diskon 50%,41821,990,2297790,39,16603470
2025-06-13,Lookalike Audience,22564,1024,1318912,6,2127924
2025-01-01,Launching Produk Baru,47846,828,1661796,27,8631927
2025-06-06,Flash Sale Akhir Bulan,5578,50,106000,1,223937
2025-04-05,Retargeting Web,36410,1905,4366260,73,21004436
2025-05-07,Retargeting Web,38747,3030,3866280,150,39669150
2025-05-18,Promo Diskon 50%,37414,1612,3254628,58,9305984
2025-04-20,Promo Diskon 50%,38039,665,1177715,17,5716148
2025-01-31,Launching Produk Baru,45083,1191,1860342,40,12025400
2025-02-14,Launching Produk Baru,33911,689,849537,11,3168682
2025-05-06,Retargeting Web,4277,224,620928,7,1372154
2025-03-20,Flash Sale Akhir Bulan,40442,251,278861,3,1010082
2025-02-21,Launching Produk Baru,38071,1900,5373200,16,6847312
2025-02-01,Retargeting Web,4729,161,375452,5,2268700
2025-06-12,Lookalike Audience,17617,485,1317260,5,2408530
2025-03-02,Flash Sale Akhir Bulan,38861,759,720291,16,5225200
2025-03-08,Lookalike Audience,32770,175,343350,5,826950
2025-04-18,Promo Diskon 50%,24813,730,2025020,21,3917298
2025-02-13,Promo Diskon 50%,13278,95,104310,2,787530
2025-02-25,Retargeting Web,43450,3085,5074825,149,30142253
2025-02-25,Promo Diskon 50%,48136,1819,4018171,39,12994605
2025-03-03,Flash Sale Akhir Bulan,16459,816,2173008,15,3650715
2025-05-12,Launching Produk Baru,30875,314,316512,4,1227260
2025-03-24,Promo Diskon 50%,11757,408,1060392,8,1858952
2025-02-15,Flash Sale Akhir Bulan,2764,100,108200,3,859860
2025-04-15,Lookalike Audience,46876,548,957356,6,1513722
2025-01-12,Flash Sale Akhir Bulan,41939,778,704090,7,3059525
2025-05-02,Retargeting Web,15771,750,1683000,23,10155190
2025-03-29,Flash Sale Akhir Bulan,42849,2013,3645543,51,9411489
2025-03-27,Lookalike Audience,3712,52,48620,2,966802
2025-02-01,Flash Sale Akhir Bulan,22959,632,1297496,6,2240790
2025-03-31,Retargeting Web,22598,1557,3416058,44,15418656
2025-01-30,Launching Produk Baru,2100,87,121539,1,425636
2025-05-01,Lookalike Audience,23637,560,566720,19,3282174
2025-06-18,Launching Produk Baru,44273,767,1634477,8,3002264
2025-04-24,Launching Produk Baru,17467,152,257640,2,969214
2025-04-27,Launching Produk Baru,7252,276,616860,10,4555680
2025-01-18,Lookalike Audience,12256,109,256041,3,1180338
2025-03-09,Launching Produk Baru,21140,475,988475,17,5703517
2025-06-27,Launching Produk Baru,18983,832,1933568,21,7249263
2025-05-29,Promo Diskon 50%,23407,666,1130202,14,3511648
2025-04-09,Retargeting Web,8873,648,896184,25,5898200
2025-02-16,Flash Sale Akhir Bulan,29304,1379,1652042,26,11353810
2025-05-30,Retargeting Web,47312,2420,5232040,56,27060264
2025-01-03,Promo Diskon 50%,16094,391,337824,2,328642
2025-03-22,Flash Sale Akhir Bulan,6416,236,345268,3,844965
2025-06-21,Promo Diskon 50%,29862,552,638664,9,1864179
2025-06-09,Flash Sale Akhir Bulan,46033,843,1361445,8,2554432
2025-03-01,Retargeting Web,4578,274,597868,14,2918482
2025-06-25,Promo Diskon 50%,45151,1501,3653434,39,8902764
2025-05-07,Promo Diskon 50%,4991,167,198062,4,1822696
2025-05-31,Launching Produk Baru,44884,1574,1657422,21,4939536
2025-05-03,Retargeting Web,20720,672,810432,38,10921808
2025-04-02,Flash Sale Akhir Bulan,30370,1008,1345680,7,1853397
2025-01-05,Flash Sale Akhir Bulan,27016,1293,2662287,34,5672764
2025-02-06,Flash Sale Akhir Bulan,35640,1606,4761790,57,13688949
2025-05-10,Flash Sale Akhir Bulan,46866,289,241604,6,2400738
2025-05-13,Lookalike Audience,49769,446,1165398,4,1699036
2025-01-12,Promo Diskon 50%,31997,1241,3354423,25,10584050
2025-04-21,Launching Produk Baru,39405,571,1401805,15,4363770
2025-01-31,Promo Diskon 50%,31572,1391,1742923,40,12921880
2025-02-25,Lookalike Audience,31009,1233,2806308,10,1818370
2025-01-17,Flash Sale Akhir Bulan,24393,1157,2838121,44,13946416
2025-06-23,Promo Diskon 50%,49572,2187,4839831,25,12417475
2025-06-25,Promo Diskon 50%,40053,1821,3560055,11,2316215
2025-03-20,Lookalike Audience,45391,1172,1534148,15,3647700
2025-05-01,Promo Diskon 50%,4045,142,383968,2,857374
2025-04-11,Retargeting Web,30352,2179,2839237,91,28679105
2025-04-11,Flash Sale Akhir Bulan,48511,2399,4330195,51,22700814
2025-06-23,Retargeting Web,28474,2225,2298425,114,41757060
2025-03-01,Launching Produk Baru,49725,1243,2604085,40,13242880
2025-04-17,Lookalike Audience,38980,1353,1164933,19,5649308
2025-02-13,Retargeting Web,30828,1806,4063500,48,16904736
2025-04-25,Flash Sale Akhir Bulan,47378,2135,2299395,57,15351012
2025-02-05,Lookalike Audience,7074,204,460632,3,1498854
2025-05-19,Launching Produk Baru,5961,282,629988,8,2890128
2025-02-05,Flash Sale Akhir Bulan,46332,1134,3125304,33,12685134
2025-05-25,Lookalike Audience,22053,944,2136272,13,3245567
2025-02-20,Flash Sale Akhir Bulan,40963,1387,1520152,53,23000940
2025-04-02,Promo Diskon 50%,25327,1185,2447025,20,4287720
2025-01-22,Promo Diskon 50%,45456,1068,1865796,31,13745617
2025-03-28,Launching Produk Baru,4832,129,331659,2,772920
2025-06-10,Retargeting Web,24651,1396,3337836,65,29922555
2025-06-02,Promo Diskon 50%,16848,704,906048,4,1056540
2025-01-22,Launching Produk Baru,31477,1313,2132312,32,7842144
2025-01-09,Promo Diskon 50%,28161,871,2214953,22,6380594
2025-05-23,Flash Sale Akhir Bulan,13329,214,273278,5,1253075
2025-02-03,Launching Produk Baru,10357,131,345447,4,835984
2025-01-10,Flash Sale Akhir Bulan,43219,2160,3304800,28,8807344
2025-02-16,Retargeting Web,33449,2372,4378712,110,32862830
2025-02-26,Flash Sale Akhir Bulan,43015,881,1041342,25,4685325
2025-04-03,Lookalike Audience,47494,1301,3698743,43,12393847
2025-01-29,Launching Produk Baru,26667,147,323694,4,1769640
2025-04-19,Retargeting Web,12207,676,817284,27,6737094
2025-02-12,Lookalike Audience,30595,1267,1881495,39,12237498
2025-05-25,Flash Sale Akhir Bulan,39669,564,1653084,8,3268056
2025-05-14,Promo Diskon 50%,25699,164,314716,3,1252497
2025-05-16,Launching Produk Baru,15975,276,510600,9,3592080
2025-02-02,Lookalike Audience,12351,283,323186,6,2829444
2025-03-21,Flash Sale Akhir Bulan,43584,2061,3971547,72,28943424
2025-02-13,Retargeting Web,19612,1277,2826001,56,23497376
2025-05-16,Launching Produk Baru,41225,469,938938,8,2303824
2025-05-17,Launching Produk Baru,19315,361,692037,10,4120170
2025-06-23,Lookalike Audience,30848,929,1396287,15,2364810
2025-03-12,Promo Diskon 50%,32700,704,902528,6,1926558
2025-06-24,Promo Diskon 50%,30668,778,991950,17,3223965
2025-03-08,Launching Produk Baru,19150,140,191940,3,790416
2025-01-31,Flash Sale Akhir Bulan,15587,540,1452060,15,5542440
2025-03-28,Retargeting Web,10263,376,891872,18,7137972
2025-03-25,Flash Sale Akhir Bulan,23223,1160,2838520,26,9305816
2025-04-04,Launching Produk Baru,44300,924,1933008,34,5477026
2025-02-20,Retargeting Web,42705,2034,5971824,119,22012739
2025-03-17,Flash Sale Akhir Bulan,41932,565,850325,17,4599146
2025-01-22,Flash Sale Akhir Bulan,48135,1821,4521543,54,20769534
2025-04-18,Launching Produk Baru,24214,1005,1632120,6,1409136
2025-02-28,Lookalike Audience,35178,635,1533525,20,9104600
2025-05-19,Flash Sale Akhir Bulan,36225,606,817494,4,833968
2025-03-25,Launching Produk Baru,1618,49,139062,1,390294
2025-02-25,Retargeting Web,13906,1025,2017200,31,10872692
2025-03-13,Launching Produk Baru,33060,701,1188195,24,6459048
2025-04-07,Promo Diskon 50%,31409,974,1348016,19,7247265
2025-03-10,Retargeting Web,24685,1706,2347456,83,13931135
2025-02-20,Flash Sale Akhir Bulan,31472,964,1641692,21,7578879
2025-02-15,Launching Produk Baru,25394,723,849525,18,7656570
2025-05-02,Launching Produk Baru,2451,110,219670,0,0
2025-04-12,Lookalike Audience,16542,288,571968,3,908646
2025-03-30,Lookalike Audience,44360,2096,2215472,68,27451872
2025-03-03,Lookalike Audience,41735,1814,3455670,9,2183706
2025-01-01,Lookalike Audience,31532,180,153540,1,368387
2025-02-08,Lookalike Audience,38036,1768,4234360,23,3917866
2025-04-03,Promo Diskon 50%,9362,396,1142064,11,4946557
2025-01-23,Flash Sale Akhir Bulan,9837,187,217668,1,391867
2025-02-04,Launching Produk Baru,5930,223,260241,8,3032312
2025-02-25,Retargeting Web,16114,527,1413941,12,4026768
2025-03-25,Lookalike Audience,10428,222,421356,5,2408225
2025-02-09,Promo Diskon 50%,15794,729,2105352,27,13023099
2025-05-27,Retargeting Web,6309,226,585566,4,1688104
2025-04-03,Lookalike Audience,14643,183,455853,4,725448
2025-03-20,Launching Produk Baru,12618,579,1170159,16,5850000
2025-05-01,Promo Diskon 50%,28372,1040,934960,8,3991016
2025-05-06,Lookalike Audience,45309,1597,3744965,59,11509130
2025-01-02,Lookalike Audience,26760,1002,902802,22,3729726
2025-02-18,Promo Diskon 50%,39814,770,1505350,17,2723859
2025-06-24,Lookalike Audience,23684,509,1111656,8,2987712
2025-06-04,Retargeting Web,35569,1737,2001024,94,43095052
2025-06-20,Retargeting Web,44771,3276,8085168,86,21665722
2025-03-07,Retargeting Web,28589,1670,4235120,72,11214216
2025-03-14,Retargeting Web,33431,1710,3782520,64,26757888
2025-03-30,Promo Diskon 50%,34956,1134,1216782,39,12315108
2025-05-25,Retargeting Web,31940,1649,2572440,97,16336449
2025-06-23,Flash Sale Akhir Bulan,49372,2393,6678863,45,8116065
2025-01-17,Promo Diskon 50%,47498,511,1522780,16,2994528
2025-06-25,Promo Diskon 50%,13455,347,771034,6,2967972
2025-06-21,Promo Diskon 50%,36823,1064,1831144,33,15767664
2025-02-26,Lookalike Audience,34911,795,1102665,7,2900793
2025-02-13,Promo Diskon 50%,33140,461,1335056,5,1331070
2025-02-11,Lookalike Audience,43163,1831,5326379,40,17454920
2025-01-14,Flash Sale Akhir Bulan,24955,289,299693,7,3280543
2025-04-12,Flash Sale Akhir Bulan,34805,1271,1860744,29,13390286
2025-01-27,Promo Diskon 50%,46759,1812,4591608,58,9835060
2025-05-31,Launching Produk Baru,18846,189,386127,1,247118
2025-05-15,Launching Produk Baru,8854,137,339897,0,0
2025-04-20,Promo Diskon 50%,47258,913,2497968,16,2998960
2025-03-22,Retargeting Web,45862,2272,6084416,81,23305239
2025-02-07,Retargeting Web,26823,1844,2247836,81,20192814
2025-03-25,Flash Sale Akhir Bulan,7683,225,292500,3,976461
2025-05-04,Retargeting Web,13923,919,1214918,48,7800864
2025-01-30,Promo Diskon 50%,24019,156,397332,3,1006281
2025-05-13,Launching Produk Baru,43936,2054,3845088,79,14942929
2025-06-26,Launching Produk Baru,17654,782,955604,3,821682
2025-05-27,Launching Produk Baru,5661,81,81567,1,335454
2025-04-09,Launching Produk Baru,1835,52,59176,1,192541
2025-06-29,Lookalike Audience,44269,1765,5079670,54,25718310
2025-02-08,Lookalike Audience,2822,102,260508,2,324384
2025-05-05,Flash Sale Akhir Bulan,41628,233,470893,3,912942
2025-06-26,Retargeting Web,32248,1812,4120488,102,20223642
2025-05-04,Promo Diskon 50%,17842,409,827816,15,4889940
2025-01-12,Retargeting Web,2808,160,380320,7,3287088
2025-01-04,Lookalike Audience,13332,527,1357025,17,6990434
2025-04-17,Launching Produk Baru,25224,415,991020,6,1476486
2025-01-03,Lookalike Audience,32923,789,1115646,21,8833398
2025-03-25,Lookalike Audience,12410,323,336566,12,1811832
2025-05-17,Launching Produk Baru,21663,1012,1773024,38,8951850
2025-05-23,Promo Diskon 50%,9319,395,517450,6,2755752
2025-04-26,Flash Sale Akhir Bulan,6770,48,96576,0,0
2025-04-03,Promo Diskon 50%,38367,1155,2568720,24,11499456
2025-03-04,Lookalike Audience,7702,275,512600,5,1055625
2025-06-26,Promo Diskon 50%,48516,2178,3441240,40,9888320
2025-05-19,Flash Sale Akhir Bulan,31368,1118,2442830,27,11553624
2025-05-11,Launching Produk Baru,35105,962,2559882,9,2896182
2025-04-27,Promo Diskon 50%,38324,1175,1109200,19,3652883
2025-01-11,Promo Diskon 50%,37546,1540,4473700,59,10873818
2025-04-10,Lookalike Audience,39767,223,433958,4,1062256
2025-06-05,Promo Diskon 50%,43114,1089,1498464,40,18622160
2025-01-13,Flash Sale Akhir Bulan,4688,92,217120,1,363030
2025-02-22,Promo Diskon 50%,32094,215,505035,3,1272270
2025-03-30,Retargeting Web,31491,2227,3356089,86,16411982
2025-05-13,Promo Diskon 50%,47240,307,404319,5,1998525
2025-01-01,Lookalike Audience,8055,395,871370,14,3609326
2025-03-14,Promo Diskon 50%,33271,565,1066720,3,1444965
2025-06-17,Flash Sale Akhir Bulan,11260,142,176648,2,739060
2025-04-26,Promo Diskon 50%,29458,955,1092520,6,2559936
2025-06-08,Retargeting Web,16831,782,1594498,21,8394435
2025-01-20,Flash Sale Akhir Bulan,10454,67,106262,1,322791
2025-01-19,Flash Sale Akhir Bulan,12780,74,194620,0,0
2025-02-28,Lookalike Audience,36086,1453,3878057,19,7881998
2025-05-22,Retargeting Web,10760,471,1361190,21,4784157
2025-05-23,Flash Sale Akhir Bulan,4488,56,124880,1,445682
2025-04-17,Flash Sale Akhir Bulan,5440,96,146304,0,0
2025-02-18,Retargeting Web,17669,845,1023295,26,12675286
2025-06-22,Lookalike Audience,23132,118,231870,0,0
2025-01-29,Flash Sale Akhir Bulan,4707,140,130760,4,830408
2025-05-31,Flash Sale Akhir Bulan,43611,708,1296348,5,2087795
2025-03-20,Retargeting Web,6585,402,888420,15,5085615
2025-01-18,Retargeting Web,19530,1461,2352210,34,15173758
2025-02-09,Promo Diskon 50%,45019,1356,3219144,32,15969440
2025-06-25,Lookalike Audience,18291,482,1291278,12,3948204
2025-04-26,Promo Diskon 50%,31217,324,301968,9,1944630
2025-03-01,Retargeting Web,47621,3088,5203280,150,31130700
2025-04-16,Launching Produk Baru,43641,458,823026,15,4181475
2025-02-13,Lookalike Audience,32984,1442,2693656,48,14385168
2025-06-03,Flash Sale Akhir Bulan,1436,20,30060,0,0
2025-06-16,Retargeting Web,12807,774,1262394,27,9437877
2025-06-30,Retargeting Web,40341,1338,1818342,42,13565370
2025-02-15,Launching Produk Baru,4214,80,136320,2,850868
2025-01-08,Retargeting Web,8522,596,909496,22,5779862
2025-06-21,Retargeting Web,2432,88,91080,3,630297
2025-02-05,Flash Sale Akhir Bulan,47800,2385,2401695,51,11286555
2025-06-03,Launching Produk Baru,3829,71,108488,2,547022
2025-04-08,Launching Produk Baru,11383,352,486464,2,560716
2025-02-03,Retargeting Web,9606,573,1495530,29,9812063
2025-03-27,Launching Produk Baru,14012,280,351680,8,2998256
2025-06-29,Flash Sale Akhir Bulan,30850,1493,3780276,20,9547960
2025-05-24,Launching Produk Baru,32669,606,1807698,19,5567950
2025-05-26,Promo Diskon 50%,45032,735,1130430,8,3550192
2025-01-01,Flash Sale Akhir Bulan,11756,487,490409,9,2231199
2025-01-17,Retargeting Web,39874,2992,5876288,109,43340362
2025-04-19,Retargeting Web,29528,2072,1759128,99,22577841
2025-01-24,Retargeting Web,44037,1910,2721750,72,26781480
2025-04-22,Flash Sale Akhir Bulan,15722,328,523488,4,1220464
2025-03-09,Promo Diskon 50%,45918,1478,2321938,7,1651734
2025-02-17,Lookalike Audience,26944,501,458916,9,2467404
2025-04-27,Launching Produk Baru,27773,838,1788292,15,4591980
2025-04-28,Flash Sale Akhir Bulan,1297,23,58075,0,0
2025-05-24,Lookalike Audience,11823,375,364125,4,1220332
2025-01-18,Retargeting Web,49792,3916,10330408,95,39113210
2025-06-09,Flash Sale Akhir Bulan,30187,424,1067208,9,1996803
2025-01-24,Retargeting Web,32642,2128,3306912,101,43718355
2025-04-01,Promo Diskon 50%,43987,1699,3855031,37,16460634
2025-04-15,Retargeting Web,6659,298,483356,9,4001760
2025-03-05,Flash Sale Akhir Bulan,24980,313,290777,4,1084696
2025-05-25,Retargeting Web,11499,458,748830,26,7668596
2025-02-07,Launching Produk Baru,24426,223,603884,5,2453475
2025-06-15,Flash Sale Akhir Bulan,49945,2484,4876092,97,24224198
2025-06-17,Promo Diskon 50%,21909,440,1026520,12,5611788
2025-02-26,Retargeting Web,2797,104,151216,5,1895580
2025-01-26,Lookalike Audience,6295,177,359664,2,626330
2025-04-24,Launching Produk Baru,28593,1243,1648218,30,9737130
2025-01-15,Retargeting Web,47289,3308,4948768,100,47711300
2025-06-15,Launching Produk Baru,34631,576,633024,21,9649458
2025-05-19,Flash Sale Akhir Bulan,26134,574,1268540,13,2546206
2025-04-21,Retargeting Web,41496,2575,3975800,118,32836922
2025-03-19,Launching Produk Baru,41720,2072,5333328,42,6639906
2025-05-24,Retargeting Web,49389,3734,10656836,135,24354000
2025-03-20,Launching Produk Baru,43437,318,628686,3,689745
2025-05-24,Flash Sale Akhir Bulan,39050,1178,2553904,44,13917376
2025-04-01,Flash Sale Akhir Bulan,39633,1865,5318980,49,10933517
2025-02-09,Promo Diskon 50%,24196,456,606936,8,3405368
2025-05-18,Flash Sale Akhir Bulan,27120,710,932940,19,4850396
2025-06-05,Launching Produk Baru,20673,862,1070604,22,10121276
2025-03-02,Lookalike Audience,9174,399,567777,5,2051980
2025-04-08,Launching Produk Baru,38025,341,1011747,4,1304292
2025-06-29,Promo Diskon 50%,18480,795,707550,27,10676313
2025-05-20,Lookalike Audience,42229,1343,3115760,35,17453310
2025-04-13,Flash Sale Akhir Bulan,37704,694,1553866,22,6801498
2025-01-31,Launching Produk Baru,26164,830,1154530,6,2326158
2025-04-19,Lookalike Audience,17919,362,947716,8,2528704
2025-04-24,Lookalike Audience,43381,1267,1330350,30,12373590
2025-05-26,Flash Sale Akhir Bulan,28808,461,1044165,3,1266087
2025-01-27,Retargeting Web,22253,981,1849185,24,5924232
2025-06-01,Flash Sale Akhir Bulan,22490,176,387552,2,377836
2025-03-16,Flash Sale Akhir Bulan,26772,177,213639,6,968322
2025-03-11,Launching Produk Baru,32165,641,1712752,17,7140000
2025-05-24,Launching Produk Baru,46529,1152,2586240,21,3476802
2025-04-02,Flash Sale Akhir Bulan,13446,341,280302,7,1446116
2025-01-11,Lookalike Audience,15709,689,1923688,27,10914102
2025-04-30,Lookalike Audience,14582,370,440670,6,2934108
2025-06-22,Launching Produk Baru,4385,174,279792,2,734434
2025-05-15,Lookalike Audience,42409,1280,1224960,19,6574190
2025-05-24,Lookalike Audience,2355,30,29910,0,0
2025-05-02,Lookalike Audience,42421,459,449361,4,1255820
2025-01-07,Launching Produk Baru,15753,203,194880,1,422617
2025-02-06,Flash Sale Akhir Bulan,36252,715,1580865,15,7364085
2025-06-18,Retargeting Web,42662,1793,4028871,85,13746285
2025-01-02,Flash Sale Akhir Bulan,22417,553,1254204,9,1643463
2025-06-14,Promo Diskon 50%,16263,144,396576,1,416897
2025-05-23,Launching Produk Baru,27572,275,312950,1,191269
2025-05-20,Promo Diskon 50%,13342,654,1486542,7,2645076
2025-01-23,Retargeting Web,48652,2373,3796800,79,36176233
2025-03-02,Launching Produk Baru,29386,934,1645708,18,3366846
2025-06-24,Launching Produk Baru,11078,268,800516,9,2081817
2025-06-07,Launching Produk Baru,46772,952,1908760,21,5109867
2025-06-04,Launching Produk Baru,38515,953,1804982,38,17199484
2025-04-13,Retargeting Web,42768,2913,8071923,157,36014858
